"ISO-3166-alpha3","alpha_0","alpha","beta","gamma","delta","eta","n","kappa"
"CUB",0.737299,44.8664,0.00752393,0.332601,0.00998195,0.489215,1.41233,0.770451
"CYP",0.42068,48.0995,0.0182418,0.297364,0.00766935,0.528818,1.40573,0.539689
"CZE",0.544976,46.5329,0.00270185,0.468647,0.00289645,0.454462,1.28634,0.996066
"DEU",0.366626,37.0093,0.024182,0.293806,0.00368084,0.469586,0.672765,0.670904
"DNK",0.573909,44.7385,0.00192288,0.559868,0.00313312,0.518927,1.54816,0.867741
"DOM",0.580188,46.7141,0.00388766,0.546691,0.0103255,0.489523,1.38756,1.14914
"DZA",0.505129,44.6819,0.02291,0.429783,0.00989618,0.482387,1.42071,0.95076
"ECU",0.690118,50.6937,0.00289139,0.749074,0.00576998,0.494934,1.18453,1.48622
"EGY",0.415778,48.3379,0.0280716,0.393068,0.0098049,0.513471,1.50988,0.969998
"ESP",0.416636,30.7558,0.0312732,0.332647,0.0167202,0.487983,0.638247,0.561968
"EST",0.415772,43.574,0.0045463,0.371026,0.00330668,0.523866,1.53911,0.838607
"FIN",0.380847,50.0804,0.00317153,0.34133,0.00294765,0.51084,1.3408,0.861239
"FRA",0.630566,45.7544,0.0274226,0.522198,0.0104434,0.475792,0.958811,1.02422
"GBR",0.629365,49.4751,0.00297608,0.459534,0.0119041,0.503192,1.27778,0.936224
"GHA",0.371477,45.9881,0.00519196,0.330441,0.00530409,0.513117,1.46113,0.316075
"GRC",0.428725,45.6232,0.00629297,0.390474,0.00444617,0.511665,1.45341,0.796151
"HND",0.962922,44.9058,0.011122,0.392053,0.0479473,0.501581,1.04695,0.770034
"HRV",0.484003,44.8718,0.0134278,0.488946,0.00302587,0.469589,1.34826,1.09006
"HUN",0.454857,47.9497,0.0194936,0.372743,0.00718383,0.512715,1.4461,0.88291
"IDN",0.479706,48.5982,0.00843012,0.412605,0.0165679,0.52551,1.35715,0.964652
"IND",0.411092,46.6587,0.0151942,0.352071,0.00609286,0.490203,1.23879,0.69183
"IRL",0.511903,44.1098,0.00392591,0.465154,0.00467764,0.511775,1.09309,0.904282
"IRN",0.920254,67.2292,0.0542252,0.841821,0.0114091,0.510978,0.910722,1.58635
"IRQ",0.396602,44.5736,0.0441468,0.268518,0.0138002,0.502686,1.53618,0.793619
"ISL",0.416179,49.5605,0.0169694,0.413727,0.0032551,0.525708,1.25742,0.694464
"ISR",0.494455,43.5698,0.0087015,0.366383,0.00580282,0.494079,1.09749,0.621493
"ITA",0.304971,34.8323,0.0180977,0.278255,0.0145849,0.516125,0.617536,0.549915
"JOR",0.282833,49.7029,0.0154887,0.463258,0.00411138,0.508007,1.41249,0.740711
"JPN",0.340423,45.0732,0.0192573,0.287434,0.00323346,0.516632,1.58283,0.862717
"KAZ",0.406041,46.8862,0.0308616,0.580403,0.00643719,0.49174,1.35816,1.03053
"KOR",0.272996,35.2506,0.0198732,0.631775,0.00172399,0.485141,0.558922,0.153531
"KWT",0.250268,46.2897,0.0279661,0.26643,0.00233997,0.476426,1.57229,0.667483
"LBN",0.345746,50.0653,0.00994825,0.401586,0.0046768,0.478347,1.30722,0.546325
"LKA",0.313598,43.6304,0.0182698,0.246094,0.00490107,0.504597,1.46925,0.284486
"LTU",0.364119,45.9243,0.00313776,0.388714,0.00422727,0.503671,1.37021,0.912224
"LUX",0.516374,46.1586,0.00419801,0.61907,0.00325294,0.509868,1.06458,1.14406
"LVA",0.312016,48.3141,0.0025536,0.277046,0.00261463,0.499267,1.45763,0.83131
"MAR",0.491724,44.9322,0.00711213,0.41053,0.0146671,0.494556,1.36281,0.867591
"MDA",0.389987,44.4778,0.00656547,0.380625,0.00428275,0.493789,1.39552,0.774334
"MEX",0.5602,43.1701,0.0041974,0.429757,0.00491393,0.483969,1.51363,0.92391
"MKD",0.292862,46.85,0.00543448,0.353904,0.00478957,0.500139,1.46952,0.767176
"MLT",0.266763,45.218,0.00310685,0.425495,0.00296459,0.500336,1.5238,0.312828
"MUS",1.13048,45.3524,0.0105748,0.209618,0.014334,0.50362,1.2116,0.598667
"MYS",0.449758,50.2391,0.0195874,0.45709,0.00371159,0.476942,1.06241,0.781336
"NGA",0.957828,48.0759,0.0557578,0.348794,0.0183775,0.485542,1.14455,0.694544
"NLD",0.578988,50.1652,0.00299597,0.478212,0.0110081,0.505551,1.126,0.824797
"NOR",0.647898,45.0068,0.00161384,0.596229,0.00181035,0.508432,1.37909,1.26043
"NZL",0.498909,48.0748,0.0357881,0.476578,0.00567798,0.503764,1.19536,0.74702
"OMN",0.257387,46.0198,0.0101173,0.524535,0.0052804,0.507483,1.4739,0.68892
"PAK",0.578889,46.4714,0.00403483,0.579899,0.00232311,0.485756,1.40204,1.27188
"PAN",0.55501,46.825,0.00366879,0.476517,0.00542026,0.480947,1.47465,1.01033
"PER",0.513715,43.8705,0.00561699,0.443822,0.00461032,0.48577,1.55834,0.933278
"PHL",0.516195,46.6754,0.00826409,0.314081,0.0113201,0.514797,1.51914,0.655785
"POL",0.509396,49.7517,0.00298718,0.409441,0.00309766,0.531206,1.31878,0.933721
"PRT",0.596677,46.3554,0.00406946,0.483659,0.00538651,0.506922,1.10553,1.06474
"QAT",0.26662,44.5179,0.0061158,0.34177,0.00169063,0.513608,1.47112,0.570674
"ROU",0.466499,41.3569,0.0225136,0.306498,0.00647162,0.462465,1.27326,0.738409
"RUS",0.618283,45.3825,0.00838702,0.425728,0.00325503,0.493072,1.50621,0.897366
"SAU",0.380602,50.0281,0.00917519,0.393319,0.00434225,0.512621,1.09591,0.630976
"SEN",0.53105,43.8628,0.0465885,0.396941,0.00739407,0.454645,1.39772,0.562779
"SGP",0.281205,47.0166,0.0260486,0.205325,0.00360249,0.495066,1.3583,0.733422
"SMR",0.275166,46.3228,0.00366936,0.336118,0.0116368,0.497255,1.4558,0.543333
"SRB",0.523406,43.1914,0.0067813,0.420987,0.00650166,0.495143,1.391,0.875843
"SVK",0.400592,44.0919,0.00507192,0.398454,0.00295296,0.48742,1.51292,0.584232
"SVN",0.337468,44.8211,0.00220932,0.31547,0.00247157,0.532631,1.49737,0.871336
"SWE",0.651505,45.5964,0.00155631,0.58395,0.00331196,0.503336,1.54413,1.21298
"THA",0.459256,52.9613,0.0127313,0.536909,0.00455055,0.526854,1.02465,0.79299
"TUN",0.329647,46.3344,0.00537147,0.523712,0.00663263,0.502322,1.44,1.02034
"TUR",0.795282,48.0687,0.00702011,0.617484,0.00770587,0.508247,1.0231,1.30183
"TWN",0.359909,47.8921,0.00825412,0.440142,0.00406632,0.478404,1.40878,0.714328
"UKR",0.519221,52.393,0.0077219,0.569258,0.00747463,0.513828,1.31414,0.985105
"URY",0.347304,44.7207,0.00327721,0.399429,0.00355258,0.472644,1.46315,0.747077
"USA",0.719711,44.132,0.00577212,0.529649,0.00524195,0.504403,0.926379,1.0106
"UZB",0.162441,43.0501,0.0146407,0.870626,0.00617339,0.469386,1.52205,0.475626
"VNM",0.270437,45.3675,0.0211185,0.381881,0.00502201,0.484327,1.51137,0.524075
"ZAF",0.409554,55.1504,0.00937019,0.499917,0.00645221,0.491411,1.04953,0.724295
