"ISO-3166-alpha3","alpha_0","alpha","beta","gamma","delta","eta","n","kappa"
"AFG",1.37406,48.525,0.0110616,0.149125,0.0098928,0.486614,1.11879,0.459277
"ALB",0.246599,42.664,0.0434011,0.369395,0.00865027,0.483741,1.42003,0.809262
"AND",0.396329,47.7966,0.0050713,0.412507,0.0055555,0.477942,1.40903,0.774545
"ARE",0.473932,49.1462,0.0150391,0.371617,0.00599334,0.496092,1.34517,0.566356
"ARG",0.47952,46.2786,0.0409724,0.508067,0.00659811,0.499085,1.31861,1.03014
"ARM",0.465943,42.3034,0.0129723,0.414179,0.00313138,0.541838,1.51128,0.730759
"AUS",0.510247,50.5355,0.0106469,0.409734,0.00395345,0.489763,1.19192,0.872784
"AUT",0.46874,47.9384,0.00682647,0.426571,0.00434034,0.512136,0.902746,0.722899
"AZE",0.551975,43.2205,0.0137366,0.486016,0.00789008,0.494821,1.38119,0.778323
"BEL",0.580347,46.2027,0.0245108,0.407604,0.00811846,0.495719,1.46286,0.997904
"BFA",0.334325,45.6599,0.0243312,0.412853,0.0110322,0.534574,1.45152,0.806709
"BGR",0.344425,46.335,0.00725857,0.399416,0.00334472,0.503794,1.52075,0.784945
"BHR",0.378555,45.5867,0.0701915,0.385093,0.00372003,0.502941,1.48121,0.866322
"BIH",0.428927,47.6319,0.00751702,0.332891,0.00691907,0.497014,1.40147,0.635433
"BRA",0.367853,49.988,0.00600086,0.381564,0.00796602,0.518734,0.88946,0.71402
"BRN",0.285506,43.5285,0.0581468,0.625988,0.00499698,0.496578,1.53227,0.146814
"CAN",0.574927,51.012,0.00375957,0.4307,0.00475955,0.491892,1.16432,0.791361
"CHE",0.406879,40.9743,0.0138224,0.410955,0.00623713,0.482286,0.767411,0.680955
"CHL",0.538294,44.7683,0.00885337,0.449971,0.00407462,0.499632,1.22289,0.86556
"CHN",0.285072,41.1761,0.0431626,0.54848,0.00274793,0.448813,0.470686,0.0697979
"CIV",0.500533,45.6916,0.0186129,0.478309,0.0159851,0.483979,1.3942,0.667771
"CMR",0.909032,46.1077,0.0081991,0.139231,0.00906296,0.529768,1.16182,0.346585
"COL",0.516047,45.6582,0.00442045,0.487242,0.00410019,0.49479,1.39908,0.987154
"CRI",0.330165,47.963,0.00280186,0.358001,0.00284314,0.534736,1.39212,0.757029
